Date : 2025-09-13 01:24:52
Directory : /Users/wjshewitt/prospect
Total : 166 files,  48992 codes, 1380 comments, 3929 blanks, all 54301 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |     18,438 |          0 |          2 |     18,440 |
| TypeScript JSX     |         94 |     16,697 |        378 |      1,611 |     18,686 |
| TypeScript         |         46 |      6,483 |        779 |        985 |      8,247 |
| JavaScript         |          3 |      2,644 |        153 |        442 |      3,239 |
| Markdown           |         10 |      2,145 |          0 |        550 |      2,695 |
| CSS                |          2 |      1,981 |         53 |        320 |      2,354 |
| HTML               |          1 |        536 |          7 |          8 |        551 |
| YAML               |          2 |         30 |          4 |          5 |         39 |
| JSON with Comments |          1 |         27 |          0 |          1 |         28 |
| Docker             |          1 |          7 |          6 |          4 |         17 |
| pip requirements   |          1 |          4 |          0 |          0 |          4 |
| Python             |          1 |          0 |          0 |          1 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                          |        166 |     48,992 |      1,380 |      3,929 |     54,301 |
| . (Files)                                                                                  |         18 |     21,699 |        120 |        535 |     22,354 |
| .kilocode                                                                                  |          1 |         11 |          0 |          0 |         11 |
| docs                                                                                       |          7 |      1,813 |          0 |        416 |      2,229 |
| public                                                                                     |          1 |      1,319 |         76 |        220 |      1,615 |
| src                                                                                        |        139 |     24,150 |      1,184 |      2,758 |     28,092 |
| src/ai                                                                                     |          7 |        904 |         87 |        162 |      1,153 |
| src/ai (Files)                                                                             |          2 |         16 |          0 |          6 |         22 |
| src/ai/flows                                                                               |          5 |        888 |         87 |        156 |      1,131 |
| src/app                                                                                    |         18 |      6,209 |        219 |        576 |      7,004 |
| src/app (Files)                                                                            |          3 |      1,916 |         49 |        210 |      2,175 |
| src/app/api                                                                                |          7 |        543 |         83 |         93 |        719 |
| src/app/api/local-authorities                                                              |          1 |        187 |         42 |         31 |        260 |
| src/app/api/mapbox-proxy                                                                   |          1 |         54 |          9 |         10 |         73 |
| src/app/api/ons                                                                            |          2 |        160 |         24 |         26 |        210 |
| src/app/api/ons/demographics                                                               |          2 |        160 |         24 |         26 |        210 |
| src/app/api/ons/demographics (Files)                                                       |          1 |         98 |         15 |         14 |        127 |
| src/app/api/ons/demographics/test                                                          |          1 |         62 |          9 |         12 |         83 |
| src/app/api/uk-data                                                                        |          1 |         80 |          6 |         13 |         99 |
| src/app/api/uk-data/flood                                                                  |          1 |         80 |          6 |         13 |         99 |
| src/app/api/uk-geoai                                                                       |          2 |         62 |          2 |         13 |         77 |
| src/app/api/uk-geoai/flood                                                                 |          2 |         62 |          2 |         13 |         77 |
| src/app/dev                                                                                |          2 |        154 |          8 |         14 |        176 |
